ASUS,ASUS ROG STRIX GeForce RTX 2080 Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C (ROG-STRIX-RTX2080-O8G-GAMING),Free Shipping
EVGA,EVGA GeForce RTX 2070 XC GAMING| 08G-P4-2172-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,Free Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 2080 TI DirectX 12 GV-N208TAORUS X-11GC Video Card,Free Shipping
MSI,MSI GeForce GTX 1660 Ti GTX 1660 TI ARMOR 6G OC Video Card,Free Shipping
EVGA,EVGA GeForce GTX 1660 XC Ultra GAMING| 06G-P4-1167-KR| 6GB GDDR5| HDB Fan,Free Shipping
ASUS,ASUS Turbo GeForce GTX 1070 TURBO-GTX1070-8G Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX Vega 56 DirectX 12 GV-RXVEGA56GAMING OC-8GD Video Card,Free Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 8G OC Video Card,Free Shipping
XFX,XFX Radeon RX 580 GTS Black Edition 1405 MHz OC+| 8GB 256-bit GDDR5| DX12 VR Ready| Double Dissipation| Dual BIOS| PCI-E AMD Graphics Card (RX-580P828D6),Free Shipping
ZOTAC,ZOTAC GAMING GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card| Super Compact| ZT-T16600F-10L,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX 590 DirectX 12 RX590 8G OC Video Card,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M Video Card,Free Shipping
